name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case diameter,price
Patek Philippe Twenty~4,Quartz,Steel,2023,Unworn,4910/1200A-011,"Original box, original papers","United Kingdom, London",25.1 x 30 mm,"$18,181"
Patek Philippe Twenty~4,Quartz,White gold,2002,Very good,4910,"Original papers, no original box","Germany, München",-,"$21,926"
Patek Philippe Aquanaut,Automatic,Rose gold,-,Very good,5068R-010,"No original box, no original papers","United States of America, New York, Great Neck",36 mm,"$69,999"
Patek Philippe Annual Calendar,Automatic,Rose gold,2020,Very good,5205R-001,"Original box, original papers","United Kingdom, London",40 mm,"$45,615"
Patek Philippe,Quartz,Rose gold,2023,New,7010/1R-012,"Original box, original papers","Austria, Wien",32 mm,"$84,519"
Patek Philippe Calatrava,Automatic,Yellow gold,1963,Very good,3429,"Original box, original papers","Switzerland, Zürich",35 mm,"$26,926"
Patek Philippe Nautilus,Quartz,Steel,1985,Very good,3900,"Original box, no original papers","Switzerland, Genève",33 mm,"$41,202"
Patek Philippe Annual Calendar Travel Time,Automatic,White gold,2024,Unworn,5326G-001,"Original box, original papers","Germany, Düsseldorf",41 mm,"$86,858"
Patek Philippe Nautilus,Automatic,Steel,2011,Very good,5980/1A-001,"Original box, original papers","Denmark, Copenhagen",40.5 x 44 mm,"$123,120"
Patek Philippe Nautilus,Automatic,White gold,-,Very good,3711/1G-001,"Original box, original papers","United States of America, Massachusetts, Boston",42 mm,"$189,200"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Platinum,-,Very good,5204P-011,"Original box, original papers","United States of America, New York, New York",40 mm,"$265,000"
Patek Philippe Travel Time,Automatic,Rose gold,2023,New,5224R-001,"Original box, original papers","Germany, München",42 mm,"$60,132"
Patek Philippe Grand Complications,Automatic,Platinum,-,Unworn,5520P-001,"Original box, original papers","United States of America, New York, New York",42 mm,Price on request
Patek Philippe Complications,Automatic,-,-,Very good,5054R,"No original box, no original papers","United States of America, California, Los Angeles",36 mm,"$24,995"
Patek Philippe Aquanaut,Automatic,Rose gold,-,New,5062/450R-001,"Original box, original papers","Hong Kong, Tsim Sha Tsui, Kowloon",38.8 mm,"$340,854"
Patek Philippe,Manual winding,Yellow gold,-,Very good,-,"No original box, no original papers","Spain, Madrid",27 mm,"$7,238"
Patek Philippe Calatrava,Manual winding,Yellow gold,1987,Very good,3919J,"Original box, original papers","United States of America, Florida, Ft Lauderdale",34 mm,"$18,400"
Patek Philippe Annual Calendar,Automatic,Rose gold,-,Very good,4947R-001,"Original box, original papers","Czech Republic, Praha 1",38 mm,"$65,700"
Patek Philippe Calatrava,Manual winding,Yellow gold,2010,Very good,5119J-001,"Original box, original papers","France, GRENOBLE",36 mm,"$19,487"
Patek Philippe Nautilus,Automatic,Steel,-,New,5990/1A-011,"Original box, original papers","United States of America, New York, New York",40.5 mm,"$152,950"
Patek Philippe World Time,Automatic,White gold,2015,New,5575G-001,"Original box, original papers","Qatar, DOHA",39.8 mm,"$120,000"
Patek Philippe Nautilus,Automatic,Steel,1998,Very good,3710/1A-001,"Original box, original papers","United States of America, Arizona, Scottsdale",42 x 38 mm,"$76,900"
Patek Philippe Chronograph,Manual winding,White gold,2016,Very good,5170G-001,"Original box, original papers","United States of America, New York, New York",39 mm,"$77,230"
Patek Philippe Calatrava,Manual winding,White gold,-,New,4897G-010,"Original box, original papers","UAE, Dubai",33 mm,"$24,010"
Patek Philippe Aquanaut,Automatic,Rose gold,-,Very good,5164R,"Original papers, no original box","United States of America, California, Newport Beach",41 mm,"$107,950"
Patek Philippe Aquanaut,Quartz,Steel,-,Very good,5267/200A-001,"Original box, original papers","United States of America, Massachusetts, Boston",7.9 mm,"$49,500"
Patek Philippe Annual Calendar,Automatic,White gold,2006,Very good,5146G-001,"Original box, original papers","United States of America, New York, Hartsdale",39 mm,"$34,500"
Patek Philippe Chronograph,Manual winding,Steel,1938,Very good,130,"No original box, no original papers","Switzerland, lugano",33 mm,Price on request
Patek Philippe Nautilus,Automatic,Gold/Steel,2018,Unworn,5980/1AR-001,"Original box, original papers","United States of America, New York, New york",40.5 x 38.5 mm,"$110,500"
Patek Philippe World Time,Automatic,Rose gold,2021,New,5230R-014,"Original box, original papers","UAE, Dubai",38.5 mm,Price on request
Patek Philippe Gondolo,-,Yellow gold,1848,Very good,-,"Original box, original papers","Italy, SARONNO","49,5 mm","$66,480"
Patek Philippe Nautilus,Automatic,White gold,2016,Unworn,5976/1G,"Original box, original papers","Qatar, DOHA",44 mm,Price on request
Patek Philippe Annual Calendar Travel Time,Automatic,White gold,2023,New,5326G-001,"Original box, original papers","United States of America, Pennsylvania, Philadelphia",41 mm,"$89,900"
Patek Philippe Aquanaut,Automatic,Rose gold,2024,Unworn,5062/450R-001,"Original box, original papers","United States of America, Florida, Miami",38.8 mm,Price on request
Patek Philippe Perpetual Calendar,Automatic,Platinum,2021,Unworn,5236P-001,"Original box, original papers","United States of America, New York, New York",-,"$124,500"
Patek Philippe Calatrava,Automatic,Rose gold,-,Very good,5127R-001,"Original box, original papers",China,37 mm,"$22,330"
Patek Philippe Annual Calendar,Automatic,Rose gold,-,Unworn,5205R-010,"Original box, original papers","United Kingdom, London",40 mm,Price on request
Patek Philippe Twenty~4,Automatic,Steel,-,New,7300/1200A-011,"Original box, original papers","UAE, Dubai",36 mm,"$26,244"
Patek Philippe World Time,Automatic,Platinum,2019,Very good,5131/1P-001,"Original box, original papers","United States of America, New York, New York",39.5 mm,"$175,000"
Patek Philippe Calatrava,Manual winding,Yellow gold,1990,Very good,9538,"Original box, original papers","United States of America, Georgia, Suwanee",31 x 38 mm,"$14,230"
Patek Philippe Nautilus,Automatic,Rose gold,2020,Very good,5980R-001,"Original box, original papers","United States of America, New York, Brooklyn",40.5 mm,"$125,330"
Patek Philippe Calatrava,Manual winding,White gold,-,Very good,3411,"No original box, no original papers","United States of America, California, Beverly Hills",34 mm,"$16,500"
Patek Philippe Calatrava,Automatic,White gold,2024,New,4997/200G-001,"Original box, original papers","Spain, Madrid",35 mm,Price on request
Patek Philippe Nautilus,Automatic,Rose gold,2022,Unworn,5711/1R,"Original box, original papers","United Kingdom, Bishops Stortford",40 mm,"$178,490"
Patek Philippe Annual Calendar,Automatic,Rose gold,-,Very good,4947R,"Original box, original papers","United States of America, California, Newport Beach",38 mm,"$57,750"
Patek Philippe Chronograph,Manual winding,Rose gold,2019,Unworn,5170R-001,"Original box, original papers",Spain,39.4 mm,"$76,724"
Patek Philippe Perpetual Calendar Chronograph,Automatic,Platinum,2009,Very good,5970P,"Original box, original papers","Monaco, Monaco",40 mm,"$317,365"
Patek Philippe Annual Calendar,Automatic,White gold,-,Very good,4947G-010,"No original box, no original papers","Hong Kong, Kwun Tong",38 mm,"$52,656"
Patek Philippe Chronograph,Manual winding,White gold,2003,Good,5070G - 001,"Original papers, no original box","United Kingdom, London",42 mm,"$102,963"
Patek Philippe Calatrava,Automatic,Yellow gold,1966,Fair,3514J,"No original box, no original papers","Japan, Musashino-Shi",34 mm,"$16,258"
Patek Philippe Aquanaut,Automatic,Steel,2023,New,5167A-001,"Original box, original papers","Austria, Wien",40 mm,"$70,043"
Patek Philippe Nautilus,Automatic,Rose gold,-,Unworn,5723/1R-001,"Original box, original papers","Switzerland, Geneva",-,Price on request
Patek Philippe Celestial,-,White gold,2019,Very good,6104G-001,"No original box, no original papers","Hong Kong, Hongkong",44 mm,"$559,551"
Patek Philippe Nautilus,Automatic,Steel,-,Good,3710/1A-001,"Original box, no original papers","United States of America, New York, New York",42 x 38 mm,"$75,000"
Patek Philippe Twenty~4,Quartz,White gold,-,Very good,4920G-010,"Original box, no original papers","Czech Republic, Praha 1",25 x 30 mm,"$11,692"
Patek Philippe Nautilus,Automatic,Steel,2013,Very good,5711/1A-010,"Original box, original papers","Italy, Catania",40 x 38 mm,Price on request
Patek Philippe Calatrava,Automatic,White gold,-,Very good,6000G,"Original box, original papers","United States of America, Florida, Boca Raton",37 mm,"$26,888"
Patek Philippe Nautilus,-,Rose gold,2019,-,5980R-001,"Original box, original papers","Germany, Stuttgart-Mitte",40 mm,"$132,401"
Patek Philippe Gondolo,Manual winding,Rose gold,-,Very good,5100R-001,"Original box, original papers","United States of America, Massachusetts, Boston",29.6 mm,"$39,000"
Patek Philippe Annual Calendar,Automatic,Rose gold,-,Very good,4947R-001,"Original box, original papers","United States of America, New York, Massapequa Park",38 mm,"$44,993"
Patek Philippe Annual Calendar,Automatic,Yellow gold,2004,Good,5125,"No original box, no original papers","Germany, Berlin",-,"$66,257"
Patek Philippe Aquanaut,Automatic,Steel,2020,Unworn,5968A-001,"Original box, original papers","United States of America, New York, New York",42.2 mm,"$135,000"
Patek Philippe Grand Complications,Manual winding,Platinum,2023,New,5470P-001,"Original box, original papers","United States of America, New York, Tallman",41 mm,"$800,000"
Patek Philippe Aquanaut,Automatic,Rose gold,-,Unworn,5167R-001,"Original box, original papers","United States of America, New York, New York",40 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,2022,Unworn,5712/1A-001,"Original box, original papers","Hong Kong, Tsim sha tsui",40 x 38 mm,"$262,043"
Patek Philippe Grand Complications,Manual winding,Platinum,2010,Unworn,5959P-014,"Original box, original papers","United States of America, California, West Hollywood",33 mm,Price on request
Patek Philippe Calatrava,Manual winding,Rose gold,2021,Very good,5196R-001,"Original box, original papers","Belgium, Heindonk -Willebroek",37 mm,"$25,054"
Patek Philippe Calatrava,Manual winding,White gold,2003,Very good,5115G,"Original papers, no original box","Germany, MÜNCHEN",35 mm,"$22,260"
Patek Philippe Calatrava,Automatic,Yellow gold,-,Very good,5196J-001,"No original box, no original papers","United States of America, New York, BROOKLYN",37 mm,"$19,650"
Patek Philippe Annual Calendar,Automatic,Yellow gold,-,Very good,5035J-001,"Original box, no original papers","Czech Republic, Praha 1",37 mm,"$24,721"
Patek Philippe Calatrava,Automatic,Yellow gold,1985,Very good,3802/200,"No original box, no original papers","France, Paris",33 mm,"$14,031"
Patek Philippe Nautilus,Automatic,Steel,2010,Unworn,5711/1A-010,"Original box, original papers","Italy, Torino",40 x 38 mm,"$107,459"
Patek Philippe Calatrava,Automatic,White gold,-,New,7200/50G-010,"Original box, original papers","Switzerland, Geneva",34 mm,"$42,000"
Patek Philippe Nautilus,Automatic,Platinum,2020,Very good,5711/112P-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$800,000"
Patek Philippe Twenty~4,Quartz,Rose gold,2004,Very good,4908/30R-001,"Original box, original papers","Japan, Sapporo-shi",26 x 22 mm,"$20,540"
Patek Philippe Calatrava,-,-,-,Very good,-,"Original box, no original papers","United States of America, New York, Huntington",36 mm,"$12,992"
Patek Philippe Nautilus,Automatic,Gold/Steel,2021,New,5980/1AR-001,"Original box, original papers","United Kingdom, Canary Wharf",40.5 x 38.5 mm,"$136,849"
Patek Philippe Aquanaut,Automatic,White gold,2022,New,5968G-010,"Original box, original papers","Germany, Bamberg",42.2 mm,"$132,514"
Patek Philippe Aquanaut,Automatic,White gold,2022,New,5168G-001,"Original box, original papers","Germany, Bamberg",42 mm,"$88,973"
Patek Philippe Calatrava,Manual winding,Yellow gold,1950,Very good,Patek Philippe 3411,"No original box, no original papers","Italy, MILANO",35 mm,"$10,579"
Patek Philippe Travel Time,Automatic,Rose gold,2023,New,5224R-001,"Original box, original papers","United States of America, New York, New York",42 mm,"$63,346"
Patek Philippe Nautilus,Automatic,Steel,1980,Very good,3700/1,"Original box, no original papers","Germany, Berlin",42 mm,Price on request
Patek Philippe Calatrava,Automatic,Steel,2020,Good,5212A-001,"Original box, original papers","United Kingdom, Guisborough",40 mm,"$54,132"
Patek Philippe World Time,-,-,-,Unworn,5131G-010,"No original box, no original papers","United States of America, Florida, Naples",-,"$134,550"
Patek Philippe Calatrava,Manual winding,Rose gold,-,Good,3923,"No original box, no original papers","Singapore, Singapore",33 mm,"$15,411"
Patek Philippe Nautilus,Automatic,-,-,Very good,5712G,"Original box, no original papers","United States of America, New York, Huntington",40 mm,"$66,992"
Patek Philippe Perpetual Calendar,Automatic,White gold,-,New,5160/500G,"Original box, original papers","United States of America, New York, New York",30m mm,"$240,000"
Patek Philippe Perpetual Calendar,Automatic,Platinum,2012,Very good,5040P,"Original box, original papers","United States of America, Florida, Boca Raton",43 x 36 mm,"$69,500"
Patek Philippe Aquanaut,Automatic,Steel,2022,New,5968A,"Original box, original papers","United Kingdom, Skipton",42.2 mm,"$138,087"
Patek Philippe Gondolo,Manual winding,Rose gold,2024,Unworn,7041R-001,"Original box, original papers","Spain, Madrid",30 mm,"$40,088"
Patek Philippe Neptune,Quartz,Steel,-,Very good,4880-1,"No original box, no original papers","United States of America, Florida, Surfside",27 mm,"$8,790"
Patek Philippe Perpetual Calendar,Automatic,White gold,2018,Very good,5320G-001,"Original box, original papers","Germany, Weißenhorn",40 mm,"$90,197"
Patek Philippe Chronograph,Manual winding,White gold,2024,New,5172G-010,"Original box, original papers","United States of America, Rhode Island, Newport",41 mm,"$75,000"
Patek Philippe Aquanaut,Quartz,Steel,2009,Very good,5087,"Original box, original papers","United States of America, Florida, Boca Raton",35.2 mm,"$38,500"
Patek Philippe Complications,Manual winding,White gold,2023,Very good,7121/200G-001,"Original box, original papers","United States of America, Florida, 3617",38 x 11 mm,"$45,000"
Patek Philippe Annual Calendar Chronograph,Automatic,White gold,2021,Unworn,5960/01G-001,"Original box, original papers","Italy, Parma",40.5 mm,Price on request
Patek Philippe Grandmaster Chime,Manual winding,White gold,2022,Very good,6300G-010,"Original box, original papers","France, Paris",47.7 mm,Price on request
Patek Philippe Chronograph,Manual winding,White gold,-,Unworn,5070G,"Original box, original papers","United States of America, New York, New York",42 mm,Price on request
